Voter,來，看看現在有多少人在現場跟在網路上跟大家一起討論！:,AI人工智慧規範應該考慮什麼？用一句話寫下一件你最關心的方向或議題！: 1,AI人工智慧規範應該考慮什麼？用一句話寫下一件你最關心的方向或議題！: 2,AI人工智慧規範應該考慮什麼？用一句話寫下一件你最關心的方向或議題！: 3,AI人工智慧規範應該考慮什麼？用一句話寫下一件你最關心的方向或議題！: 4,現在每個人有一百點，你會怎麼去分配這四個題目的重要性呢？: AI技術的政治與社會風險,現在每個人有一百點，你會怎麼去分配這四個題目的重要性呢？: 政府的監管角色與市場機制,現在每個人有一百點，你會怎麼去分配這四個題目的重要性呢？: AI的責任與透明度,現在每個人有一百點，你會怎麼去分配這四個題目的重要性呢？: AI對文化多樣性與社會價值的影響,在還沒開始討論前，你猜猜你自己大方向的觀點會跟大家一樣嗎？(+/-5): 我自己的觀點: Effort,在還沒開始討論前，你猜猜你自己大方向的觀點會跟大家一樣嗎？(+/-5): 我自己的觀點: Impact,在還沒開始討論前，你猜猜你自己大方向的觀點會跟大家一樣嗎？(+/-5): 我覺得大家的觀點: Effort,在還沒開始討論前，你猜猜你自己大方向的觀點會跟大家一樣嗎？(+/-5): 我覺得大家的觀點: Impact,我覺得應明文禁止AI 生成的內容用於政治宣傳，防止技術被用來操控民意和威脅民主。:,我覺得應明文禁止AI 生成的內容用於政治宣傳，防止技術被用來操控民意和威脅民主。:,為了增加透明度和信任度，我認為設計AI的公司應該公開其算法與資料。:,為了增加透明度和信任度，我認為設計AI的公司應該公開其算法與資料。:,AI帶來的產業衝擊應該交由市場解決，政府不應該介入。:,AI帶來的產業衝擊應該交由市場解決，政府不應該介入。:,政府應該去避免AI強化刻板印象。:,政府應該去避免AI強化刻板印象。:,AI開發者必須為AI所產生的內容造成傷害負起連帶責任。:,AI開發者必須為AI所產生的內容造成傷害負起連帶責任。:,開放討論！關於這個大議題，還有什麼你想討論的觀點，但今天還沒有講到的嗎？: 1,開放討論！關於這個大議題，還有什麼你想討論的觀點，但今天還沒有講到的嗎？: 2,開放討論！關於這個大議題，還有什麼你想討論的觀點，但今天還沒有講到的嗎？: 3,今天討論到這邊，你自己的觀點有改變嗎，你猜其他人的觀點呢？: 我自己的觀點: Effort,今天討論到這邊，你自己的觀點有改變嗎，你猜其他人的觀點呢？: 我自己的觀點: Impact,今天討論到這邊，你自己的觀點有改變嗎，你猜其他人的觀點呢？: 我覺得大家的觀點: Effort,今天討論到這邊，你自己的觀點有改變嗎，你猜其他人的觀點呢？: 我覺得大家的觀點: Impact,你對於今天的討論方式有什麼看法呢？: 今天的討論有讓我學到新的觀點,你對於今天的討論方式有什麼看法呢？: 我認為我的觀點有在今天的討論中呈現出來,你對於今天的討論方式有什麼看法呢？: 我的觀點在這樣審議的過程中有出現改變,你對於今天的討論方式有什麼看法呢？: 我認為用現場投票的方式，有恰當讓不同意見的參與者表達出自己的意見,你對於今天的討論方式有什麼看法呢？: 我認為呈現審議結果上，審議搭配投票，可以讓審議結果更有說服力,你對於今天的討論方式有什麼看法呢？: 今天的討論方式，可以讓大家達成更有建設性的共識,對於這次vTaiwan審議程序，有什麼其他心得跟意見呢？: 1,對於這次vTaiwan審議程序，有什麼其他心得跟意見呢？: 2,對於這次vTaiwan審議程序，有什麼其他心得跟意見呢？: 3
10,我在現場！,,,,,,,,,,,,,,,同意 ,中立,非常不同意,非常不同意,同意 ,同意 ,不同意,,,,,,,,,,,,,,,,,
11,我在現場！,資料的正確性,數位落差,,,30,10,30,30,3,-3,3,-3,同意 ,中立,中立,中立,不同意,同意 ,同意 ,同意 ,中立,中立,,,,3,-3,3,-3,5,4,4,5,4,4,謝謝主辦方的用心，很棒！,,
12,我在線上！,資料收集要有限度,政府後退一點,AI會不會推翻人類政權,,10,10,60,20,-3,-3,2,0,同意 ,中立,不同意,中立,非常不同意,不同意,中立,,非常同意,非常同意,,,,-5,0,-3,-3,5,3,5,3,4,4,謝謝主持人！PETER!!,,
13,我在現場！,在人類受到傷害時可以取得救濟的管道,,,,30,20,40,10,3,-2,2,-3,非常同意,非常同意,非常同意,中立,同意 ,不同意,不同意,同意 ,同意 ,同意 ,AI需要為代替人類做出的選擇負責嗎,,,-1,-1,1,-1,4,1,1,4,3,2,"曾國城
謝謝今天的活動",,
14,我在線上！,過度規範會不會在AI國際競爭中失去競爭力，像是美國跟中國努力開發的時候，歐洲因為有嚴格的規範，反而逐漸失去在AI開放上的話語權。,,,,40,20,20,20,3,0,-2,-5,同意 ,非常不同意,非常不同意,不同意,同意 ,非常不同意,非常不同意,非常同意,同意 ,同意 ,,,,3,-3,-1,-3,,,,,,,很多來自各界有深度的經驗跟意見，收穫很多！,,
15,,要事先提醒這些答案的風險,,,,30,30,40,0,4,-1,-4,-1,中立,中立,不同意,非常不同意,,,,,,,,,,,,,,,,,,,,,,
16,,隱私,,,,30,10,30,30,-5,-5,-3,-2,不同意,不同意,不同意,不同意,非常不同意,非常不同意,非常同意,非常同意,中立,不同意,,,,0,-5,-3,0,5,5,5,5,5,5,有聽到多元的觀點！,,
17,,,,,,,,,,-1,0,0,1,不同意,不同意,不同意,中立,不同意,不同意,非常不同意,非常同意,中立,不同意,AI 是一種法人嗎,AI 資料訓練工廠（有點像 AI 去上的學校）,,1,2,2,1,,,,,,,很棒，今天產生的資料很有價值,,
18,我在現場！,不讓現有的「極化立場」惡化,,,,40,10,50,0,-4,4,0,-4,非常同意,非常同意,不同意,非常不同意,中立,中立,不同意,不同意,不同意,不同意,,,,-4,4,-1,-1,5,5,1,5,5,4,謝謝主持人國城哥,與會的大家的意見很有啟發性,
19,我在現場！,文化保存,錯誤資訊造成的風險,訓練資料來自主流文化與價值觀，近一步壓迫少數文化或族群的存續,,50,10,10,30,3,-2,1,-3,不同意,中立,不同意,非常不同意,不同意,不同意,同意 ,中立,非常不同意,中立,"美中兩國的 AI 發展很像是以前的冷戰軍備競賽
想確保國力甚至文化保存是否某種程度上都得投入 AI，如果都得投入又得朝什麼方向",,,2,-2,2,-2,5,4,5,5,5,5,了解很多不同立場與各自在意的點，收穫很多！,"謝謝主持人跟主辦方~
也謝謝大家的想法分享",線上打字的話顯示一下就消失了，很常來不及讀完~
20,我在現場！,隱私,能源,壟斷,,40,0,60,0,5,5,-4,-4,非常不同意,同意 ,非常不同意,非常不同意,不同意,,中立,,不同意,中立,人可以跟AI結婚嗎,,,5,3,3,-3,5,5,3,5,5,5,AI 開心,大家都好讚喔👍,
21,我在現場！,定價應該符合消費者保護原則,,,,0,0,70,30,5,5,-5,-5,非常不同意,非常不同意,非常同意,非常同意,非常同意,非常同意,非常不同意,非常同意,非常不同意,非常不同意,針對AI本身的刑法,,,,,,,5,5,5,5,5,5,,,
22,我在現場！,在保護人權之餘如何保持發展的彈性,,,,40,20,20,20,3,-2,-4,-4,同意 ,中立,同意 ,不同意,中立,同意 ,同意 ,同意 ,同意 ,同意 ,,,,3,-5,0,-5,5,5,5,5,3,5,對於相關議題的理解具體了很多,與會者大多對議題有相對深的知識背景，不知道如果與會者教育或專業背景更多元、更符合社會分佈，討論效果會如何？,
23,我在現場！,資料來源,,,,,,,,0,0,2,2,中立,中立,不同意,不同意,不同意,不同意,中立,中立,不同意,不同意,,,,-1,-1,0,0,5,4,3,4,4,5,很有趣,,
24,我在現場！,隱私,,,,0,0,50,50,4,0,-4,-3,非常不同意,中立,中立,,,,,,,,,,,,,,,,,,,,,,,
25,我在線上！,負面影響的管控。,,,,0,50,50,0,-3,-3,0,0,同意 ,同意 ,非常同意,同意 ,非常不同意,非常不同意,同意 ,非常同意,同意 ,同意 ,政府部門應該如何應用AI,,,-4,-3,3,1,4,5,2,4,5,4,辛苦了，mentimeter的使用很適合,,
26,我在現場！,對於社會的整體影響,,,,25,25,25,25,0,3,-2,-2,中立,中立,中立,中立,中立,中立,不同意,中立,,,,,,0,2,-1,-3,4,4,4,5,5,5,,,
27,我在現場！,應有專責的主管機關統籌處理AI衍生的問題或風險,,,,10,30,40,20,2,2,-1,-1,同意 ,中立,不同意,中立,不同意,不同意,中立,中立,同意 ,中立,AI算力對環境的影響,,,3,3,3,3,5,4,5,5,5,3,,,
28,我在現場！,安全感,,,,40,20,30,10,0,0,2,-2,不同意,,同意 ,同意 ,中立,不同意,,,同意 ,非常同意,無條件基本收入XDD,AI的人權！！！XDD,,1,-2,-2,-3,5,5,4,5,4,3,若有飲水機就太好了（今天現場沒有,,
29,我在現場！,著作權,,,,40,30,20,10,-2,-2,0,0,同意 ,同意 ,中立,中立,不同意,中立,不同意,不同意,非常不同意,同意 ,,,,,,,,5,5,5,5,5,5,,,
30,我在現場！,,,,,10,10,70,10,0,0,0,0,非常不同意,非常不同意,不同意,中立,非常不同意,非常不同意,非常不同意,非常不同意,不同意,不同意,無政府狀態,,,0,0,-5,-5,3,3,4,2,4,3,建議可以請參與者文字紀錄態度轉變,,
31,我在線上！,,,,,30,50,10,10,5,-5,5,-5,不同意,,不同意,,,,,,同意 ,,,,,,,,,5,5,4,5,4,5,,,
32,我在線上！,避免複製既有的社會不平等,人工智慧生命週期的風險管控,避免AI導入公共政策變相成為懲罰貧窮,,30,40,15,15,3,-5,1,-5,非常不同意,非常不同意,中立,中立,非常不同意,,非常同意,非常同意,中立,中立,深偽技術帶來的影響,,,0,-5,0,-5,,,,,,,很棒，辛苦了,Peter好棒棒,
33,我在現場！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,我在現場！,台灣的國力,負面使用對人類造成的衝擊,,,40,10,20,30,5,0,0,-2,非常同意,同意 ,不同意,不同意,中立,中立,不同意,中立,中立,中立,政策制定對我國與各國間AI競爭、國力的影響,,,5,0,2,0,4,3,2,5,3,4,,,
35,我在現場！,人民需對使用AI所產出的結果負責,,,,20,30,40,10,5,-2,0,0,非常不同意,非常不同意,非常不同意,非常不同意,非常同意,中立,,,非常不同意,非常不同意,主權AI,,,5,0,0,-3,5,3,3,4,5,1,,,
36,我在現場！,,,,,10,10,40,40,2,2,1,-1,中立,中立,中立,中立,中立,中立,同意 ,同意 ,不同意,中立,,,,1,2,2,2,5,5,4,5,5,5,,,
37,我在現場！,退出權,,,,0,0,50,50,2,5,-2,0,中立,中立,中立,中立,不同意,同意 ,非常同意,非常同意,非常不同意,非常不同意,,,,0,0,2,0,5,5,5,5,5,5,,,
38,,刻板印象與少數族群,經濟成長,,,,,,,5,4,4,-1,不同意,非常不同意,非常同意,不同意,不同意,不同意,同意 ,同意 ,不同意,中立,是否真的要對AI單獨立法，或是分別在其他法律中訂立規範，包含在其他科技法律一樣,,,5,0,4,1,5,5,4,5,4,3,聽到不同的想法,,
39,我在現場！,控制市場與資本力量,,,,20,60,10,10,-4,-5,3,4,非常同意,非常同意,非常同意,非常同意,非常不同意,非常不同意,同意 ,非常同意,非常同意,非常同意,國家與學術機構，應該更積極的投入公共化AI，以抵抗資本對技術的壟斷,,,-5,-5,2,4,4,4,2,4,5,5,,,
40,我在線上！,勞工工作權與社會不平等,,,,20,30,40,10,-4,0,3,3,中立,,不同意,不同意,,,,,,,,,,,,,,,,,,,,,,
41,我在線上！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,同意 ,,,,,,,,,,,,,,,,,,,,,,
43,我在線上！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,仿冒、詐騙防範,,,,50,10,0,40,4,-3,2,0,不同意,非常不同意,非常不同意,中立,不同意,不同意,非常不同意,非常同意,非常不同意,同意 ,智慧財產權,和AI發展情感投入的利與弊,,-4,5,0,1,5,5,5,5,5,5,主持人很帥,,
45,,合於倫理，讓快樂變多（或至少不會減少）,,,,35,35,15,15,,,,,同意 ,同意 ,,,,,,,,,,,,,,,,,,,,,,,,
46,,不傷害民主與人權,,,,40,10,30,20,-5,-5,5,2,不同意,不同意,中立,不同意,不同意,不同意,同意 ,同意 ,中立,不同意,如何建立衡量跟管理、隨時修正AI風險的指標跟機制,怎麼建立能理想的防止AI 產品風險的稽核機制,哪些目的的AI使用真的應該被禁止,-5,-3,5,4,2,5,2,5,3,3,辛苦了～～～希望問題可以再界定清楚一些,,
47,,訓練所使用的資料必需獲得授權,,,,10,10,60,20,3,4,-2,-4,非常同意,非常同意,同意 ,不同意,同意 ,同意 ,非常不同意,非常不同意,不同意,不同意,AI 分級制度,開源 AI 社群的發展可能性？,,4,4,-3,-4,5,4,4,5,5,5,線上看不到現場討論的人，盯著簡報畫面的參與感還是欠佳。,,
48,,兼顧保障個人隱私與促進產業發展,,,,30,30,20,20,4,2,3,0,非常不同意,非常不同意,,,,不同意,同意 ,同意 ,中立,不同意,,,,4,2,1,-1,5,5,3,5,5,5,後續可以用更多數位工具，將對話延續至線上持續深化討論。,,
49,,,,,,40,20,30,10,5,0,-3,0,非常同意,同意 ,非常同意,中立,中立,中立,非常不同意,非常同意,非常不同意,中立,,,,4,0,-2,-5,5,4,4,4,5,3,聽到不同的想法,,
50,,,,,,,,,,,,,,,,同意 ,同意 ,不同意,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,-2,1,2,0,不同意,不同意,同意 ,中立,同意 ,同意 ,中立,中立,中立,中立,,,,1,1,-1,-2,5,4,4,4,5,3,,,
52,,,,,,,,,,,,,,不同意,同意 ,非常同意,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,非常不同意,非常不同意,非常不同意,非常不同意,非常同意,同意 ,AI 的定義如何明確化？Siri 算是一種 AI 嗎？美圖秀秀算是一種AI嗎？雅婷逐字稿是一種AI 嗎？西洋棋下棋的AI 是一種AI 嗎？,,,0,0,-1,0,3,3,2,4,4,5,,,